SaleID;SaleDate;SaleShippedDate;SaleShipFreight;SaleDetailUnitPrice;SaleDetailQuantity;SaleDetailDiscount;ProductID;ProductName;ProductDiscontinued;SupplierID;SupplierName;SupplierAddress;SupplierCity;SupplierCountry;SupplierPostalCode;SupplierPhone;SupplierFax;SupplierContactName;SupplierContactTitle;CategoryID;CategoryName;CategoryDescription;CustomerID;CustomerName;CustomerAddress;CustomerCity;CustomerCountry;CustomerPhone;CustomerFax;CustomerPostalCode;CustomerContactName;CustomerContactTitle;EmployeeID;EmployeeLastName;EmployeeFirstName;EmployeeTitle;EmployeeBirthDate;EmployeeHireDate;EmployeeAddress;EmployeeCity;EmployeeCountry;EmployeePostalCode;EmployeePhone;ShipperID;ShipperName;ShipperPhone
10248;2019-07-04 00:00:00.000;2019-07-16 00:00:00.000;32,38;14,00;12;0;11;Queso Cabrales;0;5;Cooperativa de Quesos 'Las Cabras';Calle del Rosal 4;Oviedo;Spain;33007;(98) 598 76 54;NULL;Antonio del Valle Saavedra;Export Administrator;4;Dairy Products;Cheeses;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;France;26.47.15.10;26.47.15.11;51100;Paul Henriot;Accounting Manager;5;Buchanan;Steven;Sales Manager;1978-03-04 00:00:00.000;2016-10-17 00:00:00.000;14 Garrett Hill;London;UK;SW1 8JR;(71) 555-4848;3;Federal Shipping;(503) 555-9931
10248;2019-07-04 00:00:00.000;2019-07-16 00:00:00.000;32,38;9,80;10;0;42;Singaporean Hokkien Fried Mee;1;20;Leka Trading;471 Serangoon Loop, Suite #402;Singapore;Singapore;0512;555-8787;NULL;Chandra Leka;Owner;5;Grains/Cereals;Breads, crackers, pasta, and cereal;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;France;26.47.15.10;26.47.15.11;51100;Paul Henriot;Accounting Manager;5;Buchanan;Steven;Sales Manager;1978-03-04 00:00:00.000;2016-10-17 00:00:00.000;14 Garrett Hill;London;UK;SW1 8JR;(71) 555-4848;3;Federal Shipping;(503) 555-9931
10248;2019-07-04 00:00:00.000;2019-07-16 00:00:00.000;32,38;34,80;5;0;72;Mozzarella di Giovanni;0;14;Formaggi Fortini s.r.l.;Viale Dante, 75;Ravenna;Italy;48100;(0544) 60323;(0544) 60603;Elio Rossi;Sales Representative;4;Dairy Products;Cheeses;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;France;26.47.15.10;26.47.15.11;51100;Paul Henriot;Accounting Manager;5;Buchanan;Steven;Sales Manager;1978-03-04 00:00:00.000;2016-10-17 00:00:00.000;14 Garrett Hill;London;UK;SW1 8JR;(71) 555-4848;3;Federal Shipping;(503) 555-9931
10249;2019-07-05 00:00:00.000;2019-07-10 00:00:00.000;11,61;18,60;9;0;14;Tofu;0;6;Mayumi's;92 Setsuko Chuo-ku;Osaka;Japan;545;(06) 431-7877;NULL;Mayumi Ohno;Marketing Representative;7;Produce;Dried fruit and bean curd;TOMSP;Toms Spezialitäten;Luisenstr. 48;Münster;Germany;0251-031259;0251-035695;44087;Karin Josephs;Marketing Manager;6;Suyama;Michael;Sales Representative;1986-07-02 00:00:00.000;2016-10-17 00:00:00.000;Coventry House Miner Rd.;London;UK;EC2 7JR;(71) 555-7773;1;Speedy Express;(503) 555-9831
10249;2019-07-05 00:00:00.000;2019-07-10 00:00:00.000;11,61;42,40;40;0;51;Manjimup Dried Apples;0;24;G'day, Mate;170 Prince Edward Parade Hunter's Hill;Sydney;Australia;2042;(02) 555-5914;(02) 555-4873;Wendy Mackenzie;Sales Representative;7;Produce;Dried fruit and bean curd;TOMSP;Toms Spezialitäten;Luisenstr. 48;Münster;Germany;0251-031259;0251-035695;44087;Karin Josephs;Marketing Manager;6;Suyama;Michael;Sales Representative;1986-07-02 00:00:00.000;2016-10-17 00:00:00.000;Coventry House Miner Rd.;London;UK;EC2 7JR;(71) 555-7773;1;Speedy Express;(503) 555-9831
10250;2019-07-08 00:00:00.000;2019-07-12 00:00:00.000;65,83;7,70;10;0;41;Jack's New England Clam Chowder;0;19;New England Seafood Cannery;Order Processing Dept. 2100 Paul Revere Blvd.;Boston;USA;02134;(617) 555-3267;(617) 555-3389;Robb Merchant;Wholesale Account Agent;8;Seafood;Seaweed and fish;HANAR;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;Brazil;(21) 555-0091;(21) 555-8765;05454-876;Mario Pontes;Accounting Manager;4;Peacock;Margaret;Sales Representative;1960-09-19 00:00:00.000;2016-05-03 00:00:00.000;4110 Old Redmond Rd.;Redmond;USA;98052;(206) 555-8122;2;United Package;(503) 555-3199
10250;2019-07-08 00:00:00.000;2019-07-12 00:00:00.000;65,83;42,40;35;0,15;51;Manjimup Dried Apples;0;24;G'day, Mate;170 Prince Edward Parade Hunter's Hill;Sydney;Australia;2042;(02) 555-5914;(02) 555-4873;Wendy Mackenzie;Sales Representative;7;Produce;Dried fruit and bean curd;HANAR;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;Brazil;(21) 555-0091;(21) 555-8765;05454-876;Mario Pontes;Accounting Manager;4;Peacock;Margaret;Sales Representative;1960-09-19 00:00:00.000;2016-05-03 00:00:00.000;4110 Old Redmond Rd.;Redmond;USA;98052;(206) 555-8122;2;United Package;(503) 555-3199
10250;2019-07-08 00:00:00.000;2019-07-12 00:00:00.000;65,83;16,80;15;0,15;65;Louisiana Fiery Hot Pepper Sauce;0;2;New Orleans Cajun Delights;P.O. Box 78934;New Orleans;USA;70117;(100) 555-4822;NULL;Shelley Burke;Order Administrator;2;Condiments;Sweet and savory sauces, relishes, spreads, and seasonings;HANAR;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;Brazil;(21) 555-0091;(21) 555-8765;05454-876;Mario Pontes;Accounting Manager;4;Peacock;Margaret;Sales Representative;1960-09-19 00:00:00.000;2016-05-03 00:00:00.000;4110 Old Redmond Rd.;Redmond;USA;98052;(206) 555-8122;2;United Package;(503) 555-3199
10251;2019-07-08 00:00:00.000;2019-07-15 00:00:00.000;41,34;16,80;6;0,05;22;Gustaf's Knäckebröd;0;9;PB Knäckebröd AB;Kaloadagatan 13;Göteborg;Sweden;S-345 67;031-987 65 43;031-987 65 91;Lars Peterson;Sales Agent;5;Grains/Cereals;Breads, crackers, pasta, and cereal;VICTE;Victuailles en stock;2, rue du Commerce;Lyon;France;78.32.54.86;78.32.54.87;69004;Mary Saveley;Sales Agent;3;Leverling;Janet;Sales Representative;1986-08-30 00:00:00.000;2015-04-01 00:00:00.000;722 Moss Bay Blvd.;Kirkland;USA;98033;(206) 555-3412;1;Speedy Express;(503) 555-9831
10251;2019-07-08 00:00:00.000;2019-07-15 00:00:00.000;41,34;15,60;15;0,05;57;Ravioli Angelo;0;26;Pasta Buttini s.r.l.;Via dei Gelsomini, 153;Salerno;Italy;84100;(089) 6547665;(089) 6547667;Giovanni Giudici;Order Administrator;5;Grains/Cereals;Breads, crackers, pasta, and cereal;VICTE;Victuailles en stock;2, rue du Commerce;Lyon;France;78.32.54.86;78.32.54.87;69004;Mary Saveley;Sales Agent;3;Leverling;Janet;Sales Representative;1986-08-30 00:00:00.000;2015-04-01 00:00:00.000;722 Moss Bay Blvd.;Kirkland;USA;98033;(206) 555-3412;1;Speedy Express;(503) 555-9831
